YardiResidentDto,YardiResidentDto.PropertyId,YardiResidentDto.UnitCode,YardiResidentDto.ResidentNum,YardiResidentDto.PrimaryResidentNumber,YardiResidentDto.FirstName,YardiResidentDto.LastName,YardiResidentDto.Email,YardiResidentDto.CellPhone,YardiResidentDto.HomePhone,YardiResidentDto.OfficePhone,YardiResidentDto.Mobile1,YardiResidentDto.Mobile2,YardiResidentDto.Status,YardiResidentDto.LeaseFromDate,YardiResidentDto.LeaseToDate,YardiResidentDto.MoveInDate,YardiResidentDto.MoveOutDate,YardiResidentDto.NoticeDate,YardiResidentDto.AvailableDate
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,115,t0109529,t0109529,Damontest,Salvatoretest,damon.s@email.com,1232311231,456789,1234567890,"","",Future,3/6/2023,2/27/2025,3/6/2023,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,117,t0081127,t0081127,Iam,Adult,"","","","","","",Future,2/28/2022,2/27/2023,2/28/2022,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,117,r0050671,t0081127,Mr,Partner,"","","","","","",Future,2/28/2022,2/27/2023,2/28/2022,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,118,t0109607,t0109607,Spider,Man,"","","",5451112219,"","",Current,2/21/2024,2/20/2025,2/21/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,118,r0064235,t0109607,Dead,Pool,deadpool@gmail.com,"","","","","",Current,2/21/2024,2/20/2025,3/1/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,119,t0128817,t0128817,"test dup","test dup","","","","","","",Future,11/18/2024,11/17/2025,12/11/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,121,t0129177,t0129177,yammm,jum,yammm@mail.com,"","","","","",Current,3/20/2024,3/19/2025,3/20/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,121,r0069760,t0129177,Kenny,Roger,kenny@gmail.com,"","",5555551234,"","",Current,3/20/2024,3/19/2025,3/20/2024,11/24/2024,"",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,122,t0130256,t0130256,Kenji2,Jum,kenji12@gmail.com,"","","","","",Future,12/1/2024,12/31/2024,12/1/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,123,t0128626,t0128626,Harvey,Howard,harveyhoward@email.com,9999999999,9999999999,9999999999,"","",Current,2/28/2022,2/27/2025,3/28/2022,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,123,r0069618,t0128626,Child,One,"","","","","","",Current,2/28/2022,2/27/2025,3/28/2022,11/17/2024,"",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,124,t0110788,t0110788,Klaus,Mikaelson,Klaus@email.com,123,1232,123,"","",Current,4/11/2024,4/10/2025,3/13/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,124,r0064388,t0110788,Roommate,Test,roommate@gmail.com,"","",555555555,"","",Current,4/11/2024,4/10/2025,3/12/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,124,r0069706,t0110788,Maddison,Sutherland,maddys1200@email.com,9999999999,9999999999,"","","",Current,4/11/2024,4/10/2025,3/13/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,20,t0111027,t0111027,Stephen,Chow,stehp@gmail.com,"","",5555551234,"","",Future,3/15/2024,3/14/2025,3/15/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,201,t0112174,t0112174,Shealby,Larry,shealby@hh.com,"","",555555555,"","",Current,3/14/2024,4/1/2024,3/14/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,201,r0065017,t0112174,Jimmy,Neutron,jimmyyy@gmm.com,"","",5555551234,"","",Current,3/14/2024,4/1/2024,3/14/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,201,r0068134,t0112174,Jim,Neu,jimneu@gmail.com,"","","","","",Current,3/14/2024,4/1/2024,8/20/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,202,t0110930,t0110930,Danny,Tim,danny@yy.com,"","",5555551234,"","",Current,3/15/2024,3/14/2025,3/15/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,202,r0064456,t0110930,Carl,Robert,carl@hh.com,"","",5555551234,"","",Current,3/15/2024,3/14/2025,3/17/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,203,t0110934,t0110934,Terry,Ong,terry@gg.com,"","",5555551255,"","",Current,3/11/2024,3/10/2025,3/11/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,203,r0064458,t0110934,Jane,Tan,jane@gg.com,"","",5555551234,"","",Current,3/11/2024,3/10/2025,3/11/2024,3/12/2024,"",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,203,r0065018,t0110934,mengyue,Testing,"","","","","","",Current,3/11/2024,3/10/2025,3/11/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,2048,t0129115,t0129115,Raspberry,Jam,raspberryjam00123@email.com,9999999999,9999999999,9999999999,"","",Current,7/31/2024,7/30/2025,7/31/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,2048,r0069679,t0129115,Bread,Chi,"","","","","","",Current,7/31/2024,7/30/2025,7/31/2024,11/20/2024,"",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,205,t0111894,t0111894,Ying,Yi,yi@gmail.com,"","",5555551234,"","",Current,11/18/2024,11/17/2025,11/18/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,205,r0069701,t0111894,Farhan,Lara,flara113@email.com,9999999999,9999999999,9999999999,"","",Current,11/18/2024,11/17/2025,11/20/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,206,t0081132,t0081132,Paul,Edwards,"","","",1234561581,"","",Future,3/1/2018,11/30/2018,3/1/2018,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,207,t0081147,t0081147,Sophia,Wilson,"","","",1234561508,"","",Current,1/1/2014,12/31/2015,1/1/2014,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,207,r0050682,t0081147,David,Wilson,david.wilson@gmail.zzz,1234561545,1234561543,1234561542,"","",Current,1/1/2014,12/31/2015,1/1/2014,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,208,t0128405,t0128405,cc,1,"","","","","","",Current,11/16/2024,11/15/2025,11/16/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,209,t0081137,t0081137,Neil,Hardwick,"","","",1234561575,"","",Future,3/12/2024,3/11/2025,3/12/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,209,r0050675,t0081137,David,Thomas,thomas.d@gmail.zzz,"","","","","",Future,3/12/2024,3/11/2025,1/1/2014,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,210,t0110789,t0110789,Brandy,Hellium,brandy-hellium@gmail.com,"","","","","",Future,3/11/2024,3/10/2025,3/11/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,2101,t0111936,t0111936,Wes,Damon,damon@emailexample.com,"","","","","",Future,3/28/2024,3/27/2025,3/28/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,2102,t0112154,t0112154,Primary,Roommate,priroommate@gmail.com,"","",5555551234,"","",Future,4/18/2024,4/17/2025,4/18/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,2105,t0111035,t0111035,Hunting,Hellium,hunting-hellium@gmail.com,"","","","","",Future,3/17/2024,3/16/2025,3/19/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,2108,t0113715,t0113715,testlessen1,Swift,testlessen1@Swift.com,"","","","","",Future,10/30/2024,10/29/2025,10/30/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,2109,t0112147,t0112147,QA,"Unit Transfer",qa-unittransfer@gmail.com,"",1234567891,1234567891,"","",Future,3/30/2024,3/29/2025,3/30/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,211,t0111776,t0111776,Karl,Malone,karl@gmail.com,"",5555557777,"","","",Future,5/1/2024,4/30/2025,5/1/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,212,t0130324,t0130324,swifties,PrimaryResident,"","","","","","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,212,r0069938,t0130324,test,roommate,"","","","","","",Current,12/4/2024,12/3/2025,12/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,213,t0116311,t0116311,Jackson,Wang,jacksonwang@gmail.com,"",1234567891,1234567891,"","",Current,11/19/2024,11/18/2025,11/19/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,213,r0069860,t0116311,Lea,Davenport,lea.davenport_88@wmail.com,"","","","","",Current,11/19/2024,11/18/2025,11/24/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,213,r0069861,t0116311,Derek,Gregory,"",3175553497,3175553497,3175553497,"","",Current,11/19/2024,11/18/2025,11/24/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,213,r0069862,t0116311,Autumn,Stevens,autumn.stevens21@wmail.com,5025557843,5025557843,5025557843,"","",Current,11/19/2024,11/18/2025,11/25/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,215,t0115573,t0115573,test,test232323,test@testtdfdfdfttttt.com,"","","","","",Current,6/6/2024,6/5/2025,6/6/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,215,r0066464,t0115573,testroommate,rommate,test23232@215.com,"","","","","",Current,6/6/2024,6/5/2025,6/6/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,216,t0081128,t0081128,Jayne,Robinson,jayne.r@gmail.zzz,1234561473,1234561472,1234561471,"","",Future,7/14/2021,7/13/2022,7/14/2021,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,217,t0081129,t0081129,Keith,Wilkins,keith.w@gmail.zzz,1234561425,1234561424,1234561423,"","",Future,7/14/2021,7/13/2022,7/14/2021,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,217,r0050672,t0081129,John,Thomason,john.t@gmail.zzz,1234561433,1234561432,1234561431,"","",Future,7/14/2021,7/13/2022,7/14/2021,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,218,t0122365,t0122365,Taylor,Swiffft,"","","","","","",Current,9/11/2024,9/10/2025,9/11/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,218,r0069702,t0122365,Julie,Farley,juliefarley12@email.com,9999999999,9999999999,9999999999,"","",Current,9/11/2024,9/10/2025,11/20/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,219,t0120370,t0120370,test,rommmate,"","","","","","",Future,5/21/2025,5/20/2026,5/21/2025,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,220,t0128408,t0128408,cc2,cc,"","","","","","",Future,11/13/2024,11/30/2024,11/13/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,221,t0112146,t0112146,QA1,Promotion1,qa1promotion1@gmail.com,"","","","","",Current,3/25/2024,3/24/2025,3/25/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,221,r0065003,t0112146,QA,Promotion,qapromotion@gmail.com,"","","","","",Current,3/25/2024,3/24/2025,3/25/2024,3/30/2024,"",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,222,t0129081,t0129081,Gracie,Bloom,graciebloom@email.com,9999999999,9999999999,9999999999,"","",Current,3/24/2024,3/23/2025,3/24/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,222,r0069665,t0129081,SQL2,Roommate,sql2roommate@gmail.com,"","",5555551234,"","",Current,3/24/2024,3/23/2025,3/24/2024,11/20/2024,"",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,223,t0111150,t0111150,Chris,Zimmer,chris.z@gmail.zzz,1234561477,1234561476,1234561475,"","",Future,4/7/2024,4/6/2025,4/7/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,224,t0081154,t0081154,Andy,Cyster,andy.c@gmail.zzz,1234561461,1234561461,1234561461,"","",Current,3/6/2024,3/5/2025,3/6/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,224,r0069864,t0081154,Rosemary,Weaver,rosemary.weaver99@wmail.com,9165554821,9165554821,9165554821,"","",Current,3/6/2024,3/5/2025,11/24/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,225,t0108891,t0108891,Ethan,"The Ethan",demo@gmail.com,5555551232,5555551231,5555551234,"","",Current,2/19/2024,2/18/2025,2/19/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,225,r0063847,t0108891,Ethan,Junior,demo@gmail.com,"","","","","",Current,2/19/2024,2/18/2025,2/18/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,225,r0069729,t0108891,Jude,Salazar,jude.salazar19@wmail.com,9999999999,9999999999,9999999999,"","",Current,2/19/2024,2/18/2025,11/21/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u101,t0116544,t0116544,Kim,Chi,"","","","","","",Future,6/19/2024,6/18/2025,6/19/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u101,r0066814,t0116544,Green,Teh,"","","","","","",Future,6/19/2024,6/18/2025,6/19/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u12,t0115755,t0115755,testttt,wewewewe,"","","","","","",Future,5/27/2025,5/26/2026,5/27/2025,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u12,r0066578,t0115755,sdadasd,ewqeewqeq,"","","","","","",Future,5/27/2025,5/26/2026,5/27/2025,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u124,t0129167,t0129167,Benedict,Blaese,ben.blaesexplore@wmail.com,9999999999,9999999999,9999999999,"","",Current,11/21/2024,11/20/2025,11/21/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u124,r0069747,t0129167,Casper,Barton,casper.barton89@wmail.com,"","","","","",Current,11/21/2024,11/20/2025,11/21/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u124,r0069748,t0129167,Merlin,Ambrosius,merlinambrosius@email.com,9999999999,9999999999,9999999999,"","",Current,11/21/2024,11/20/2025,11/21/2024,11/22/2024,"",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u124,r0069853,t0129167,Taha,Reid,"","","","","","",Current,11/21/2024,11/20/2025,11/24/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u129,t0111181,t0111181,Wes,Damon,damon@emailexample.com,"","","","","",Current,11/27/2024,11/26/2025,11/27/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u13,t0081125,t0081125,Head,Houshold,"","","","","","",Future,3/21/2022,3/20/2023,3/21/2022,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u13,r0050669,t0081125,Child,One,"","","","","","",Future,3/21/2022,3/20/2023,3/21/2022,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u131,t0110434,t0110434,Ronald,Junior,ronald@gmail.com,"","","","","",Future,4/16/2025,4/15/2026,4/16/2025,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u14,t0109608,t0109608,Susan,Jones,"","","","","","",Current,2/27/2024,2/26/2025,11/1/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,u14,r0063892,t0109608,Matt,Jones,"","","","","","",Current,2/27/2024,2/26/2025,11/1/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,U168,t0118628,t0118628,Bruno,Mars,brunomars@gmail.com,"",1234567891,1234567891,"","",Current,6/4/2024,6/3/2025,6/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,U168,r0067245,t0118628,Hungry,"Hungry Jr",hungry-hungry2@gmail.com,"","","","","",Current,6/4/2024,6/3/2025,6/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,U482,t0115758,t0115758,Bruno,Mars,brunomars@gmail.com,"",1234567891,1234567891,"","",Current,6/4/2024,6/3/2025,6/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,U482,r0066576,t0115758,Hungry,Hungry,hungry-hungry@gmail.com,"","","","","",Current,6/4/2024,6/3/2025,6/4/2024,"","",""
DataIntegrationHub.Platform.Yardi.Dtos.YardiResidentDto,lessen00,U482,r0066582,t0115758,Hungry,"Hungry Jr",hungry-hungry2@gmail.com,"","","","","",Current,6/4/2024,6/3/2025,6/4/2024,"","",""
